5#a79d93,#a7704b,#3d3331,#747471,#c5bfb7
#cdb0ab,#282228,#6c3932,#8b787c,#585e66
#d1b6ad,#525a68,#29283a,#938081,#825448
#927976,#5d4e4c,#96624b,#bfa19a,#2d262a
#9d827a,#522623,#5c6662,#272126,#c8aca4
#a48a88,#2b2128,#736569,#683936,#cbadab
#887c7a,#1b1824,#753f32,#b79690,#655e65
#ac8984,#231b1f,#6c3627,#8b695e,#534341
#8b6c64,#5d4442,#a9908a,#292023,#656a70
#d9c3b7,#251d22,#9a9793,#5d686d,#6a4036
#b79a9e,#171218,#672d29,#817d89,#4f435f
#a4857a,#754939,#d9bbb3,#351e23,#5c635e
#445067,#a87976,#20191e,#975c4d,#6d7082
#af9b98,#1d1a22,#7d858a,#603229,#5f5960
#ae796a,#7e3e36,#462b2c,#878677,#d9a899
#b87f6e,#673331,#e4b2a6,#914d40,#a0998e
#4a2c2f,#ba8c82,#726e6c,#794135,#211923
#7a847a,#6b5049,#bfac97,#3a3238,#a3765e
#b58f7c,#946d55,#6b422b,#cdaba1,#2b1719
#bf9f96,#9f7d70,#261619,#7b2f21,#764e3b
#714f49,#291c20,#7890a1,#987775,#5f606e
#8c6866,#4b2f2f,#b4938e,#6a271e,#646f6b
#777277,#4b2428,#281c23,#a78986,#7c4c43
#957470,#5b2521,#a19698,#7f3d2d,#55464e
#703a36,#756b6f,#a87f7a,#43282b,#91939a
#8f5952,#421e23,#78221f,#706268,#b4807a
#78534b,#522120,#4c5862,#2e2026,#6c7983
#8e7272,#77423d,#698392,#433138,#bfa1a1
#959293,#1c141a,#c3a099,#5f3634,#995847
#6a4c47,#60757e,#38272c,#977b77,#5f2525
#ad786c,#702e29,#24161b,#a79392,#73676b
#693c37,#4f525a,#94625a,#581518,#27171c
#784f4a,#4d3132,#66656d,#9d7c79,#2a252c
#8e8d94,#2e1d22,#69302c,#a6776d,#625d65
#a3847e,#703929,#322025,#9c9ea2,#7d5e5a
#68463d,#696e7a,#24181a,#5d1d12,#34414e
#b0887f,#341e21,#6f7d7a,#824934,#73616b
#ad7e6b,#742e20,#d5bcae,#462828,#8b7d82
#5a3b3c,#c29a8f,#271a1f,#848886,#916961
#916b67,#1e141b,#652b1f,#626368,#542c2a
#886967,#271d23,#7d7e87,#64302b,#5b5a63
#a47971,#221519,#b7918d,#5e1e1b,#855a53
#927170,#72281a,#767887,#4a2c2f,#835446
#511c1e,#7e6760,#251c22,#72473b,#666a71
#715042,#321b20,#8a6d5c,#ad8e7e,#56302b
#765f5a,#5f4136,#7c858e,#3e2a2c,#9a7d78
#4d5b5d,#65281f,#55506d,#866a6c,#39272b
#7a625f,#5b3b36,#7a858c,#302023,#a48582
#8c5e4b,#4c2425,#7d7a7c,#2c1c23,#793a29
#956f64,#684a45,#7b7b7c,#6c3428,#3b2426
#613730,#969188,#4a696d,#30252c,#cdcbc3
#c1a8a4,#2a1c1e,#682c22,#89827d,#815d57
#bfaea7,#191419,#663521,#907b6d,#50564e
#916f5f,#562b25,#55615e,#28272a,#b2a199
#c6b5b2,#241c20,#b77c68,#80837a,#5f2b23
#85736e,#431e1e,#b99890,#634b49,#949a97
#bfb0a9,#694536,#49584f,#371d1b,#998275
#9c8b8b,#332b30,#cdbbba,#794131,#62686f
#c6b0af,#68372d,#6f635f,#2d191b,#a48a83
#d1c7b2,#98572f,#a89788,#492d26,#ebe8d0
#3e4f4c,#bfaea5,#4e2b27,#847468,#1f1a1f
#af8376,#776f67,#7d382b,#553230,#d1b6ac
#cfc0bb,#495454,#663f36,#918279,#2f282a
#8c736d,#b89c94,#7f3d2e,#535958,#553331
#c7b1a5,#2d1e1f,#5b1413,#897e71,#a1583c
#61665b,#b49a93,#986a55,#6f2f1e,#3c1617
#cfb8af,#6b372c,#666762,#492322,#9e8177
#ba8675,#6d4b44,#8e4538,#f2ccbc,#3c2e31
#a37b62,#7e483b,#6f6b60,#c5a48e,#432533
#a0806d,#4c2623,#d5b2a6,#4f4d43,#7d4f3e
#c69f92,#65685e,#9a7260,#7f3d2c,#44312d
#6b423b,#a86f57,#3d2628,#d99e7e,#87372b
#c89172,#827969,#433f36,#9a5839,#edbda5
#9a6952,#644c3d,#753323,#c08e77,#40211e
#b18f7f,#643123,#766859,#93583d,#41201c
#ba8c74,#2b1c27,#672529,#e3bcaa,#8f5343
#c6998c,#6f372a,#28151b,#e4b8ad,#a16c58
#a1786a,#7a4b40,#878378,#492929,#c9a395
#a1806e,#805e4c,#502e23,#bd9d8a,#7c3723
#96675b,#3e0d14,#b3877e,#7d2b18,#6d3225
#bd9887,#a2564a,#4c3a3e,#d5baaf,#81888d
#c6b193,#747b65,#51342d,#bd8a60,#ded5c0
#d3b5a7,#767660,#a67768,#eddad1,#8c4033
#e1d7cf,#4d393a,#738780,#855148,#b09a8e
#ddd1c5,#b2967f,#493631,#8e5741,#708371
#d4cdc1,#322728,#a1856e,#885645,#869787
#d8c8be,#587b63,#7f5346,#998d86,#4b3d41
#ab8b7a,#cfccc7,#493c3b,#738e82,#8e5648
#dcd1ca,#97715a,#616957,#b1a292,#6e372d
#af8f7c,#cfc0b7,#7f635c,#75897c,#473638
#ddd2cb,#8f6652,#b1a290,#a4523c,#596552
#e1d7d0,#403737,#637e6f,#875a4c,#a99c8c
#e2d5cb,#6c8064,#382a29,#c09e80,#88634f
#dcc9b9,#81473a,#463b3e,#697a6d,#a88774
#b8a890,#362d31,#8f5544,#ddd5cd,#7a7c68
#cfc9c1,#57413f,#82989a,#515a79,#9c8778
#c3b3a6,#7e4639,#697c6b,#e0d4d2,#a4856d
#e2d6cd,#3a2b2f,#b6a28d,#915746,#737463
#ded5cf,#6a775c,#3b302e,#b98663,#b6a992
#5a7766,#815f53,#c2b2a0,#48393e,#955141
#dbcbbd,#9e5540,#392e2c,#909481,#a67f67
#dcc7b6,#2b1f21,#8f3d30,#82937c,#a17560
#9e6d51,#d9cbbd,#312522,#477c69,#56687c
#dcd8d1,#8e725e,#597c66,#423733,#aba398
#22222b,#84958d,#502c2f,#cac0ae,#915c4e
#af907a,#604640,#d5c5b4,#778776,#905849
#dacdc4,#93534f,#372322,#898577,#a94739
#c0a483,#3a2822,#deccb2,#8d6b51,#798267
#693a32,#a48e7a,#6d7c6d,#3a2b2c,#d2c5b6
#c9bcae,#352222,#7b887f,#8a5d50,#454243
#522e2e,#c5beb6,#798578,#8f5c50,#464141
#b49586,#7f4f43,#dcc9c2,#482d2b,#6c6b61
#b6a291,#3c2d2a,#6b7d6e,#d9cdc5,#826558
#9d8476,#72877e,#53403d,#cabba8,#8f4e47
#e0cdbe,#9a6f5f,#483433,#939182,#84423c
#e4dfca,#98785e,#352723,#c3b094,#76503b
#dac9b7,#755851,#989485,#aa7c67,#493736
#947462,#c5b5a6,#4e3331,#975444,#757d73
#b7a99b,#7f5a4e,#443533,#a08572,#dbd1c4
#b79d7f,#312422,#9b6243,#686f4e,#dacdbd
#cfbda9,#281c1d,#6e7b67,#863f2f,#b88865
#a59b8c,#39312f,#d1c6bb,#995c4a,#6f7569
#decdc2,#787c63,#302224,#c99d7a,#864c3b
#5d7e78,#a69084,#3f3739,#844539,#d8cdc7
#d5c8b6,#201b1f,#ac7b57,#6c836d,#6f3b33
#dfcfbe,#876d5d,#593531,#b4664a,#bd9e86
#cfc8bf,#5d7666,#413134,#8a5344,#a18f7b
#b38569,#7b3a30,#3d3635,#d3ccbc,#879382
#b9a28e,#362625,#995f46,#e0d3ca,#736758
#ccbcb4,#382c2a,#767668,#b79179,#9c573b
#9e927d,#262423,#7a3325,#d8cabb,#a66e4a
#dbd4c8,#302322,#6c7c67,#8d533f,#b6a18a
#d9d3c3,#672c28,#4e705e,#b5a68b,#9f6045
#e1d1c4,#b1997e,#65312a,#596850,#9d553e
#cfcec0,#cc9774,#251f21,#4c7b70,#9e4f2f
#d6d1c1,#466d5d,#843c2a,#a3a491,#3d2624
#b5a996,#832a22,#3b4a72,#d4cec1,#618275
#b7a495,#67776c,#a56e57,#613e36,#d2ccc8
#b6a592,#977259,#d8cfbf,#65362c,#6c7964
#997e6e,#d0c4b0,#8c9f90,#564a52,#855244
#ceb39e,#4b3537,#958372,#8da7a0,#976150
#96796b,#ccc6b5,#3b3032,#789389,#8d4d3a
#889e89,#9e8373,#d3c2ac,#493538,#884c44
#b4987c,#221a1a,#919e96,#8b5741,#667d88
#cdbea9,#5a3e3e,#71897e,#384560,#884d3a
#988574,#c7bcaa,#759687,#8b584a,#5d4c4c
#cab6a6,#8f493f,#443b45,#86938d,#9d7568
#d3c3b1,#6c463d,#7c8a71,#b37a5f,#3e383a
#747c5e,#463b37,#b39478,#9a654b,#dccab8
#cabaac,#766054,#788877,#512b29,#a56955
#9f9284,#54725a,#5d4d4d,#d8ceba,#a27258
#ab866c,#934d3d,#64796a,#543934,#cfc1b3
#d6cbc1,#684b47,#66846f,#ac9385,#8b4f41
#b6af99,#957c67,#627966,#6c463c,#dad8ca
#ccbfb2,#4e3835,#718a7b,#997a67,#636c7c
#b7a594,#937560,#d6cdc4,#8c573f,#5e4c47
#bdaa99,#332521,#70776c,#e7dbcf,#a2755e
#aa8867,#dbcdbc,#835d41,#504134,#cfb18d
#b39879,#241d21,#926a4f,#d6c1a4,#5a433b
#dad1c6,#845745,#9f9079,#be7f63,#5a554b
#cdcac9,#372729,#6c6b5a,#b9a68c,#8b5e4a
#bca48e,#806957,#3f3331,#e0d3c6,#894f3e
#ecdfce,#865a4a,#caab90,#9f4c3c,#46312e
#b89b7a,#79af81,#76513f,#84898d,#43a18d
#aea28e,#9f775f,#859b95,#695850,#cdc5b5
#77998f,#8a7065,#c8bba8,#493b3e,#7c8dad
#7b8079,#bb9984,#4a4243,#cec2b6,#8b6253
#dccfc1,#39292b,#834f3c,#66745e,#b8997c
